"Dato og tid Kjøring # 1";"Tid (s) Kjøring # 1";"UVA (350-375 nm) Kjøring # 1";"UVB (320-340 nm Kjøring # 1";"UV Indeks Kjøring # 1";"Illuminans (lux) Kjøring # 1";"Solar irradians (W/m²) Kjøring # 1";"Solar PAR (μmol/m²/s) Kjøring # 1"
06.12.2021 15.02.21;0,000;49;22;0,16;14,98;0,16;0,28
06.12.2021 15.02.22;1,000;52;24;0,17;12,84;0,13;0,24
06.12.2021 15.02.23;2,000;52;25;0,17;12,84;0,13;0,24
06.12.2021 15.02.24;3,000;53;25;0,18;12,84;0,13;0,24
06.12.2021 15.02.25;4,000;54;25;0,18;12,84;0,13;0,24
06.12.2021 15.02.26;5,000;55;26;0,18;12,84;0,13;0,24
06.12.2021 15.02.27;6,000;56;26;0,18;12,84;0,13;0,24
06.12.2021 15.02.28;7,000;57;26;0,19;12,84;0,13;0,24
06.12.2021 15.02.29;8,000;59;27;0,19;12,84;0,13;0,24
06.12.2021 15.02.30;9,000;64;29;0,21;17,12;0,18;0,32
06.12.2021 15.02.31;10,000;66;30;0,22;17,12;0,18;0,32
06.12.2021 15.02.32;11,000;68;30;0,22;17,12;0,18;0,32
06.12.2021 15.02.33;12,000;69;31;0,23;17,12;0,18;0,32
06.12.2021 15.02.34;13,000;70;32;0,23;17,12;0,18;0,32
06.12.2021 15.02.35;14,000;70;31;0,23;17,12;0,18;0,32
06.12.2021 15.02.36;15,000;71;31;0,23;17,12;0,18;0,32
06.12.2021 15.02.37;16,000;72;32;0,23;17,12;0,18;0,32
06.12.2021 15.02.38;17,000;73;32;0,24;14,98;0,16;0,28
06.12.2021 15.02.39;18,000;74;32;0,24;14,98;0,16;0,28
06.12.2021 15.02.40;19,000;75;33;0,24;14,98;0,16;0,28
06.12.2021 15.02.41;20,000;76;33;0,24;12,84;0,13;0,24
06.12.2021 15.02.42;21,000;77;33;0,25;12,84;0,13;0,24
06.12.2021 15.02.43;22,000;78;34;0,25;12,84;0,13;0,24
06.12.2021 15.02.44;23,000;79;34;0,25;12,84;0,13;0,24
06.12.2021 15.02.45;24,000;79;34;0,25;12,84;0,13;0,24
06.12.2021 15.02.46;25,000;81;35;0,26;12,84;0,13;0,24
06.12.2021 15.02.47;26,000;81;35;0,26;12,84;0,13;0,24
06.12.2021 15.02.48;27,000;82;35;0,26;12,84;0,13;0,24
06.12.2021 15.02.49;28,000;83;36;0,27;12,84;0,13;0,24
06.12.2021 15.02.50;29,000;84;36;0,27;12,84;0,13;0,24
06.12.2021 15.02.51;30,000;85;36;0,27;12,84;0,13;0,24
06.12.2021 15.02.52;31,000;85;36;0,27;12,84;0,13;0,24
06.12.2021 15.02.53;32,000;86;37;0,28;12,84;0,13;0,24
06.12.2021 15.02.54;33,000;86;37;0,28;12,84;0,13;0,24
06.12.2021 15.02.55;34,000;87;37;0,28;12,84;0,13;0,24
06.12.2021 15.02.56;35,000;87;37;0,28;12,84;0,13;0,24
06.12.2021 15.02.57;36,000;88;37;0,28;12,84;0,13;0,24
06.12.2021 15.02.58;37,000;88;37;0,28;12,84;0,13;0,24
06.12.2021 15.02.59;38,000;88;37;0,28;12,84;0,13;0,24
06.12.2021 15.03.00;39,000;89;38;0,28;12,84;0,13;0,24
06.12.2021 15.03.01;40,000;90;38;0,29;12,84;0,13;0,24
06.12.2021 15.03.02;41,000;90;38;0,29;12,84;0,13;0,24
06.12.2021 15.03.03;42,000;90;38;0,29;12,84;0,13;0,24
06.12.2021 15.03.04;43,000;91;38;0,29;12,84;0,13;0,24
06.12.2021 15.03.05;44,000;92;39;0,29;14,98;0,16;0,28
06.12.2021 15.03.06;45,000;92;38;0,29;14,98;0,16;0,28
06.12.2021 15.03.07;46,000;92;39;0,29;14,98;0,16;0,28
06.12.2021 15.03.08;47,000;92;39;0,29;14,98;0,16;0,28
06.12.2021 15.03.09;48,000;93;39;0,30;14,98;0,16;0,28
06.12.2021 15.03.10;49,000;93;39;0,30;14,98;0,16;0,28
06.12.2021 15.03.11;50,000;93;39;0,30;12,84;0,13;0,24
06.12.2021 15.03.12;51,000;94;40;0,30;12,84;0,13;0,24
06.12.2021 15.03.13;52,000;94;40;0,30;12,84;0,13;0,24
06.12.2021 15.03.14;53,000;94;40;0,30;12,84;0,13;0,24
06.12.2021 15.03.15;54,000;94;40;0,30;12,84;0,13;0,24
06.12.2021 15.03.16;55,000;95;40;0,30;12,84;0,13;0,24
06.12.2021 15.03.17;56,000;95;40;0,30;12,84;0,13;0,24
06.12.2021 15.03.18;57,000;95;40;0,30;12,84;0,13;0,24
06.12.2021 15.03.19;58,000;95;40;0,30;12,84;0,13;0,24
06.12.2021 15.03.20;59,000;95;40;0,30;14,98;0,16;0,28
06.12.2021 15.03.21;60,000;95;40;0,30;14,98;0,16;0,28
06.12.2021 15.03.22;61,000;95;40;0,30;14,98;0,16;0,28
06.12.2021 15.03.23;62,000;95;40;0,30;12,84;0,13;0,24
06.12.2021 15.03.24;63,000;95;40;0,30;12,84;0,13;0,24
06.12.2021 15.03.25;64,000;96;41;0,31;12,84;0,13;0,24
06.12.2021 15.03.26;65,000;95;40;0,30;12,84;0,13;0,24
06.12.2021 15.03.27;66,000;96;40;0,30;10,70;0,11;0,20
06.12.2021 15.03.28;67,000;95;40;0,30;10,70;0,11;0,20
06.12.2021 15.03.29;68,000;96;40;0,30;12,84;0,13;0,24
06.12.2021 15.03.30;69,000;96;40;0,30;12,84;0,13;0,24
06.12.2021 15.03.31;70,000;96;40;0,30;12,84;0,13;0,24
06.12.2021 15.03.32;71,000;96;41;0,31;12,84;0,13;0,24
06.12.2021 15.03.33;72,000;96;40;0,30;12,84;0,13;0,24
06.12.2021 15.03.34;73,000;96;40;0,30;12,84;0,13;0,24
06.12.2021 15.03.35;74,000;96;40;0,30;14,98;0,16;0,28
06.12.2021 15.03.36;75,000;96;40;0,30;14,98;0,16;0,28
06.12.2021 15.03.37;76,000;96;40;0,30;14,98;0,16;0,28
06.12.2021 15.03.38;77,000;97;41;0,31;14,98;0,16;0,28
06.12.2021 15.03.39;78,000;97;41;0,31;14,98;0,16;0,28
06.12.2021 15.03.40;79,000;96;40;0,30;14,98;0,16;0,28
06.12.2021 15.03.41;80,000;96;40;0,30;14,98;0,16;0,28
06.12.2021 15.03.42;81,000;97;41;0,31;12,84;0,13;0,24
06.12.2021 15.03.43;82,000;97;41;0,31;12,84;0,13;0,24
06.12.2021 15.03.44;83,000;96;41;0,31;12,84;0,13;0,24
06.12.2021 15.03.45;84,000;96;40;0,30;12,84;0,13;0,24
06.12.2021 15.03.46;85,000;96;40;0,30;12,84;0,13;0,24
06.12.2021 15.03.47;86,000;96;40;0,30;12,84;0,13;0,24
06.12.2021 15.03.48;87,000;97;40;0,31;12,84;0,13;0,24
06.12.2021 15.03.49;88,000;97;40;0,31;12,84;0,13;0,24
06.12.2021 15.03.50;89,000;97;40;0,31;12,84;0,13;0,24
06.12.2021 15.03.51;90,000;97;41;0,31;12,84;0,13;0,24
06.12.2021 15.03.52;91,000;96;40;0,30;12,84;0,13;0,24
06.12.2021 15.03.53;92,000;96;41;0,31;12,84;0,13;0,24
06.12.2021 15.03.54;93,000;97;41;0,31;12,84;0,13;0,24
06.12.2021 15.03.55;94,000;97;41;0,31;12,84;0,13;0,24
06.12.2021 15.03.56;95,000;96;40;0,30;12,84;0,13;0,24
06.12.2021 15.03.57;96,000;96;40;0,30;12,84;0,13;0,24
06.12.2021 15.03.58;97,000;96;40;0,30;12,84;0,13;0,24
06.12.2021 15.03.59;98,000;96;40;0,30;12,84;0,13;0,24
06.12.2021 15.04.00;99,000;96;40;0,30;12,84;0,13;0,24
06.12.2021 15.04.01;100,000;96;40;0,30;12,84;0,13;0,24
06.12.2021 15.04.02;101,000;96;40;0,30;12,84;0,13;0,24
06.12.2021 15.04.03;102,000;96;40;0,30;10,70;0,11;0,20
06.12.2021 15.04.04;103,000;96;41;0,31;10,70;0,11;0,20
06.12.2021 15.04.05;104,000;96;41;0,31;10,70;0,11;0,20
06.12.2021 15.04.06;105,000;96;40;0,30;10,70;0,11;0,20
06.12.2021 15.04.07;106,000;96;41;0,31;10,70;0,11;0,20
06.12.2021 15.04.08;107,000;96;40;0,30;10,70;0,11;0,20
06.12.2021 15.04.09;108,000;96;40;0,30;10,70;0,11;0,20
06.12.2021 15.04.10;109,000;96;40;0,30;10,70;0,11;0,20
06.12.2021 15.04.11;110,000;96;40;0,30;12,84;0,13;0,24
06.12.2021 15.04.12;111,000;95;39;0,30;12,84;0,13;0,24
06.12.2021 15.04.13;112,000;96;40;0,30;12,84;0,13;0,24
06.12.2021 15.04.14;113,000;95;40;0,30;12,84;0,13;0,24
06.12.2021 15.04.15;114,000;95;40;0,30;12,84;0,13;0,24
06.12.2021 15.04.16;115,000;95;40;0,30;12,84;0,13;0,24
06.12.2021 15.04.17;116,000;95;39;0,30;12,84;0,13;0,24
06.12.2021 15.04.18;117,000;95;40;0,30;14,98;0,16;0,28
06.12.2021 15.04.19;118,000;5;8;0,03;537,13;5,59;9,94
06.12.2021 15.04.20;119,000;3;6;0,02;477,21;4,96;8,83
06.12.2021 15.04.21;120,000;1;4;0,01;393,75;4,10;7,28
06.12.2021 15.04.22;121,000;1;4;0,01;413,01;4,30;7,64
06.12.2021 15.04.23;122,000;1;4;0,01;378,77;3,94;7,01
06.12.2021 15.04.24;123,000;2;5;0,02;432,27;4,50;8,00
06.12.2021 15.04.25;124,000;2;5;0,02;436,55;4,54;8,08
06.12.2021 15.04.26;125,000;3;5;0,02;477,21;4,96;8,83
06.12.2021 15.04.27;126,000;2;4;0,01;455,81;4,74;8,43
06.12.2021 15.04.28;127,000;5;9;0,03;590,63;6,14;10,93
06.12.2021 15.04.29;128,000;6;9;0,04;605,61;6,30;11,20
06.12.2021 15.04.30;129,000;5;8;0,03;579,93;6,03;10,73
06.12.2021 15.04.31;130,000;4;7;0,03;522,15;5,43;9,66
06.12.2021 15.04.32;131,000;0;0;0,00;113,42;1,18;2,10
06.12.2021 15.04.33;132,000;0;0;0,00;113,42;1,18;2,10
06.12.2021 15.04.34;133,000;0;0;0,00;14,98;0,16;0,28
06.12.2021 15.04.35;134,000;0;0;0,00;113,42;1,18;2,10
06.12.2021 15.04.36;135,000;0;0;0,00;228,98;2,38;4,24
06.12.2021 15.04.37;136,000;3;6;0,02;526,43;5,47;9,74
06.12.2021 15.04.38;137,000;5;8;0,03;573,51;5,96;10,61
06.12.2021 15.04.39;138,000;4;7;0,03;575,65;5,99;10,65
06.12.2021 15.04.40;139,000;5;8;0,03;564,95;5,88;10,45
06.12.2021 15.04.41;140,000;5;8;0,03;552,11;5,74;10,21
06.12.2021 15.04.42;141,000;4;7;0,03;517,87;5,39;9,58
06.12.2021 15.04.43;142,000;3;6;0,02;505,03;5,25;9,34
06.12.2021 15.04.44;143,000;5;8;0,03;577,79;6,01;10,69
06.12.2021 15.04.45;144,000;0;1;0,00;239,68;2,49;4,43
06.12.2021 15.04.46;145,000;71;28;0,22;12,84;0,13;0,24
06.12.2021 15.04.47;146,000;75;31;0,24;12,84;0,13;0,24
06.12.2021 15.04.48;147,000;75;30;0,23;10,70;0,11;0,20
06.12.2021 15.04.49;148,000;75;31;0,24;12,84;0,13;0,24
06.12.2021 15.04.50;149,000;75;31;0,24;12,84;0,13;0,24
06.12.2021 15.04.51;150,000;75;32;0,24;12,84;0,13;0,24
06.12.2021 15.04.52;151,000;76;32;0,24;12,84;0,13;0,24
06.12.2021 15.04.53;152,000;76;32;0,24;12,84;0,13;0,24
06.12.2021 15.04.54;153,000;76;33;0,24;12,84;0,13;0,24
06.12.2021 15.04.55;154,000;76;32;0,24;12,84;0,13;0,24
06.12.2021 15.04.56;155,000;76;32;0,24;12,84;0,13;0,24
06.12.2021 15.04.57;156,000;77;33;0,25;12,84;0,13;0,24
06.12.2021 15.04.58;157,000;75;32;0,24;12,84;0,13;0,24
06.12.2021 15.04.59;158,000;76;32;0,24;12,84;0,13;0,24
06.12.2021 15.05.00;159,000;76;33;0,24;12,84;0,13;0,24
06.12.2021 15.05.01;160,000;75;31;0,24;12,84;0,13;0,24
06.12.2021 15.05.02;161,000;76;32;0,24;10,70;0,11;0,20
06.12.2021 15.05.03;162,000;75;32;0,24;10,70;0,11;0,20
06.12.2021 15.05.04;163,000;75;31;0,24;10,70;0,11;0,20
06.12.2021 15.05.05;164,000;75;31;0,24;10,70;0,11;0,20
06.12.2021 15.05.06;165,000;74;31;0,23;10,70;0,11;0,20
06.12.2021 15.05.07;166,000;75;32;0,24;10,70;0,11;0,20
06.12.2021 15.05.08;167,000;75;31;0,24;10,70;0,11;0,20
06.12.2021 15.05.09;168,000;74;31;0,23;10,70;0,11;0,20
06.12.2021 15.05.10;169,000;75;31;0,24;10,70;0,11;0,20
06.12.2021 15.05.11;170,000;75;31;0,24;10,70;0,11;0,20
06.12.2021 15.05.12;171,000;75;31;0,24;10,70;0,11;0,20
06.12.2021 15.05.13;172,000;75;31;0,24;10,70;0,11;0,20
06.12.2021 15.05.14;173,000;75;31;0,24;10,70;0,11;0,20
06.12.2021 15.05.15;174,000;74;31;0,23;10,70;0,11;0,20
06.12.2021 15.05.16;175,000;75;31;0,24;12,84;0,13;0,24
06.12.2021 15.05.17;176,000;75;31;0,24;12,84;0,13;0,24
06.12.2021 15.05.18;177,000;74;30;0,23;12,84;0,13;0,24
06.12.2021 15.05.19;178,000;74;31;0,23;12,84;0,13;0,24
06.12.2021 15.05.20;179,000;74;31;0,23;12,84;0,13;0,24
06.12.2021 15.05.21;180,000;73;31;0,23;12,84;0,13;0,24
06.12.2021 15.05.22;181,000;74;30;0,23;12,84;0,13;0,24
06.12.2021 15.05.23;182,000;74;31;0,23;12,84;0,13;0,24
06.12.2021 15.05.24;183,000;73;31;0,23;12,84;0,13;0,24
06.12.2021 15.05.25;184,000;74;31;0,23;12,84;0,13;0,24
06.12.2021 15.05.26;185,000;74;31;0,23;12,84;0,13;0,24
06.12.2021 15.05.27;186,000;73;30;0,23;12,84;0,13;0,24
06.12.2021 15.05.28;187,000;74;31;0,23;12,84;0,13;0,24
06.12.2021 15.05.29;188,000;73;30;0,23;10,70;0,11;0,20
06.12.2021 15.05.30;189,000;73;30;0,23;10,70;0,11;0,20
06.12.2021 15.05.31;190,000;74;31;0,23;10,70;0,11;0,20
06.12.2021 15.05.32;191,000;73;30;0,23;10,70;0,11;0,20
06.12.2021 15.05.33;192,000;73;30;0,23;10,70;0,11;0,20
06.12.2021 15.05.34;193,000;73;30;0,23;12,84;0,13;0,24
06.12.2021 15.05.35;194,000;74;31;0,23;12,84;0,13;0,24
06.12.2021 15.05.36;195,000;73;30;0,23;12,84;0,13;0,24
06.12.2021 15.05.37;196,000;74;31;0,23;12,84;0,13;0,24
06.12.2021 15.05.38;197,000;74;31;0,23;12,84;0,13;0,24
06.12.2021 15.05.39;198,000;74;31;0,23;12,84;0,13;0,24
06.12.2021 15.05.40;199,000;73;31;0,23;12,84;0,13;0,24
06.12.2021 15.05.41;200,000;73;31;0,23;10,70;0,11;0,20
06.12.2021 15.05.42;201,000;73;31;0,23;10,70;0,11;0,20
06.12.2021 15.05.43;202,000;74;31;0,23;10,70;0,11;0,20
06.12.2021 15.05.44;203,000;74;31;0,23;10,70;0,11;0,20
06.12.2021 15.05.45;204,000;73;31;0,23;12,84;0,13;0,24
06.12.2021 15.05.46;205,000;74;31;0,23;12,84;0,13;0,24
06.12.2021 15.05.47;206,000;74;31;0,23;12,84;0,13;0,24
06.12.2021 15.05.48;207,000;73;30;0,23;12,84;0,13;0,24
06.12.2021 15.05.49;208,000;73;30;0,23;12,84;0,13;0,24
06.12.2021 15.05.50;209,000;73;30;0,23;12,84;0,13;0,24
06.12.2021 15.05.51;210,000;73;30;0,23;10,70;0,11;0,20
06.12.2021 15.05.52;211,000;73;30;0,23;10,70;0,11;0,20
06.12.2021 15.05.53;212,000;73;30;0,23;10,70;0,11;0,20
