"Dato og tid Kjøring # 1";"Tid (s) Kjøring # 1";"UVA (350-375 nm) Kjøring # 1";"UVB (320-340 nm Kjøring # 1";"UV Indeks Kjøring # 1";"Illuminans (lux) Kjøring # 1";"Solar irradians (W/m²) Kjøring # 1";"Solar PAR (μmol/m²/s) Kjøring # 1"
01.12.2021 14.28.11;0,000;0;0;0,00;2,14;0,02;0,04
01.12.2021 14.28.12;1,000;0;0;0,00;2,14;0,02;0,04
01.12.2021 14.28.13;2,000;0;0;0,00;2,14;0,02;0,04
01.12.2021 14.28.14;3,000;0;0;0,00;2,14;0,02;0,04
01.12.2021 14.28.15;4,000;0;0;0,00;2,14;0,02;0,04
01.12.2021 14.28.16;5,000;0;0;0,00;2,14;0,02;0,04
01.12.2021 14.28.17;6,000;0;0;0,00;2,14;0,02;0,04
01.12.2021 14.28.18;7,000;0;0;0,00;2,14;0,02;0,04
01.12.2021 14.28.19;8,000;0;0;0,00;2,14;0,02;0,04
01.12.2021 14.28.20;9,000;90;36;0,28;12,84;0,13;0,24
01.12.2021 14.28.21;10,000;93;39;0,30;12,84;0,13;0,24
01.12.2021 14.28.22;11,000;93;39;0,30;12,84;0,13;0,24
01.12.2021 14.28.23;12,000;93;39;0,30;12,84;0,13;0,24
01.12.2021 14.28.24;13,000;93;39;0,30;12,84;0,13;0,24
01.12.2021 14.28.25;14,000;93;39;0,30;10,70;0,11;0,20
01.12.2021 14.28.26;15,000;92;38;0,29;10,70;0,11;0,20
01.12.2021 14.28.27;16,000;92;38;0,29;10,70;0,11;0,20
01.12.2021 14.28.28;17,000;92;38;0,29;10,70;0,11;0,20
01.12.2021 14.28.29;18,000;93;39;0,30;10,70;0,11;0,20
01.12.2021 14.28.30;19,000;92;39;0,29;10,70;0,11;0,20
01.12.2021 14.28.31;20,000;92;38;0,29;10,70;0,11;0,20
01.12.2021 14.28.32;21,000;92;38;0,29;10,70;0,11;0,20
01.12.2021 14.28.33;22,000;92;38;0,29;10,70;0,11;0,20
01.12.2021 14.28.34;23,000;92;38;0,29;10,70;0,11;0,20
01.12.2021 14.28.35;24,000;92;39;0,29;10,70;0,11;0,20
01.12.2021 14.28.36;25,000;92;39;0,29;10,70;0,11;0,20
01.12.2021 14.28.37;26,000;92;39;0,29;10,70;0,11;0,20
01.12.2021 14.28.38;27,000;92;38;0,29;10,70;0,11;0,20
01.12.2021 14.28.39;28,000;92;39;0,29;10,70;0,11;0,20
01.12.2021 14.28.40;29,000;92;38;0,29;10,70;0,11;0,20
01.12.2021 14.28.41;30,000;92;39;0,29;12,84;0,13;0,24
01.12.2021 14.28.42;31,000;92;38;0,29;12,84;0,13;0,24
01.12.2021 14.28.43;32,000;92;38;0,29;12,84;0,13;0,24
01.12.2021 14.28.44;33,000;92;38;0,29;12,84;0,13;0,24
01.12.2021 14.28.45;34,000;92;38;0,29;14,98;0,16;0,28
01.12.2021 14.28.46;35,000;0;0;0,00;25,68;0,27;0,48
01.12.2021 14.28.47;36,000;0;0;0,00;239,68;2,49;4,43
01.12.2021 14.28.48;37,000;0;0;0,00;205,44;2,14;3,80
01.12.2021 14.28.49;38,000;0;0;0,00;218,28;2,27;4,04
01.12.2021 14.28.50;39,000;0;0;0,00;181,90;1,89;3,37
01.12.2021 14.28.51;40,000;0;0;0,00;209,72;2,18;3,88
01.12.2021 14.28.52;41,000;0;0;0,00;246,10;2,56;4,55
01.12.2021 14.28.53;42,000;0;1;0,00;239,68;2,49;4,43
01.12.2021 14.28.54;43,000;0;0;0,00;239,68;2,49;4,43
01.12.2021 14.28.55;44,000;0;0;0,00;228,98;2,38;4,24
01.12.2021 14.28.56;45,000;0;0;0,00;226,84;2,36;4,20
01.12.2021 14.28.57;46,000;0;0;0,00;239,68;2,49;4,43
01.12.2021 14.28.58;47,000;0;0;0,00;243,96;2,54;4,51
01.12.2021 14.28.59;48,000;0;0;0,00;254,66;2,65;4,71
01.12.2021 14.29.00;49,000;0;0;0,00;256,80;2,67;4,75
01.12.2021 14.29.01;50,000;0;1;0,00;263,21;2,74;4,87
01.12.2021 14.29.02;51,000;0;0;0,00;209,72;2,18;3,88
01.12.2021 14.29.03;52,000;0;0;0,00;241,82;2,51;4,47
01.12.2021 14.29.04;53,000;0;0;0,00;25,68;0,27;0,48
01.12.2021 14.29.05;54,000;0;0;0,00;14,98;0,16;0,28
01.12.2021 14.29.06;55,000;49;20;0,15;10,70;0,11;0,20
01.12.2021 14.29.07;56,000;49;20;0,15;10,70;0,11;0,20
01.12.2021 14.29.08;57,000;49;21;0,16;10,70;0,11;0,20
01.12.2021 14.29.09;58,000;49;21;0,16;10,70;0,11;0,20
01.12.2021 14.29.10;59,000;49;20;0,15;10,70;0,11;0,20
01.12.2021 14.29.11;60,000;49;21;0,16;10,70;0,11;0,20
01.12.2021 14.29.12;61,000;49;21;0,16;10,70;0,11;0,20
01.12.2021 14.29.13;62,000;49;20;0,15;10,70;0,11;0,20
01.12.2021 14.29.14;63,000;49;20;0,15;10,70;0,11;0,20
01.12.2021 14.29.15;64,000;49;21;0,16;10,70;0,11;0,20
01.12.2021 14.29.16;65,000;49;20;0,15;10,70;0,11;0,20
01.12.2021 14.29.17;66,000;49;20;0,15;10,70;0,11;0,20
01.12.2021 14.29.18;67,000;49;20;0,15;10,70;0,11;0,20
