UVA;UVB
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
86;35
87;36
87;36
86;36
86;36
86;36
86;36
86;36
86;35
86;36
87;36
86;35
86;35
86;35
86;36
87;36
86;36
86;36
86;36
86;36
87;37
86;35
86;36
86;36
86;36
86;36
86;36
85;35
86;36
86;36
85;35
86;36
86;36
85;35
85;35
85;35
84;34
85;35
85;35
0;0
0;1
0;1
0;1
0;1
0;0
0;0
0;1
0;1
0;1
0;1
0;0
0;0
0;0
0;1
0;0
0;0
0;0
0;0
0;0
0;0
0;1
0;0
0;0
41;16
44;18
43;17
44;19
44;18
44;19
45;19
44;18
43;17
44;18
44;18
44;18
44;19
44;19
44;18
43;18
44;18
44;18
43;17
44;18
44;18
43;18
44;18
44;19
44;18
43;18
44;18
44;18
43;18
